manuscript_citekey	detagged_citekey	standard_citekey	short_citekey
url:https://borgbackup.readthedocs.io/en/stable/usage/create.html	url:https://borgbackup.readthedocs.io/en/stable/usage/create.html	url:https://borgbackup.readthedocs.io/en/stable/usage/create.html	aOjcjuFL
url:https://borgbackup.readthedocs.io/en/stable/usage/delete.html	url:https://borgbackup.readthedocs.io/en/stable/usage/delete.html	url:https://borgbackup.readthedocs.io/en/stable/usage/delete.html	ks2O2RFV
url:https://borgbackup.readthedocs.io/en/stable/usage/extract.html	url:https://borgbackup.readthedocs.io/en/stable/usage/extract.html	url:https://borgbackup.readthedocs.io/en/stable/usage/extract.html	TfKFZXxY
url:https://borgbackup.readthedocs.io/en/stable/usage/info.html	url:https://borgbackup.readthedocs.io/en/stable/usage/info.html	url:https://borgbackup.readthedocs.io/en/stable/usage/info.html	Jy9J8yh4
url:https://borgbackup.readthedocs.io/en/stable/usage/mount.html#borg-umount	url:https://borgbackup.readthedocs.io/en/stable/usage/mount.html#borg-umount	url:https://borgbackup.readthedocs.io/en/stable/usage/mount.html#borg-umount	JKnXXa50
url:https://chris.beams.io/posts/git-commit	url:https://chris.beams.io/posts/git-commit	url:https://chris.beams.io/posts/git-commit	F4k6GPqB
url:https://creativecommons.org/licenses/by-sa/4.0	url:https://creativecommons.org/licenses/by-sa/4.0	url:https://creativecommons.org/licenses/by-sa/4.0	zdPKAH38
url:https://de.wikipedia.org/wiki/Anwendungsfalldiagramm	url:https://de.wikipedia.org/wiki/Anwendungsfalldiagramm	url:https://de.wikipedia.org/wiki/Anwendungsfalldiagramm	4mo6lP04
url:https://doc.qt.io/qt-5/index.html	url:https://doc.qt.io/qt-5/index.html	url:https://doc.qt.io/qt-5/index.html	rudIQ4z5
url:https://doc.qt.io/qt-5/lgpl.html	url:https://doc.qt.io/qt-5/lgpl.html	url:https://doc.qt.io/qt-5/lgpl.html	178HX5HMP
url:https://doc.qt.io/qt-5/qthread.html	url:https://doc.qt.io/qt-5/qthread.html	url:https://doc.qt.io/qt-5/qthread.html	PyQ7veZ4
url:https://docs.python.org/3.6/library/configparser.html#module-configparser	url:https://docs.python.org/3.6/library/configparser.html#module-configparser	url:https://docs.python.org/3.6/library/configparser.html#module-configparser	EdMlwJHH
url:https://docs.python.org/3.6/library/subprocess.html	url:https://docs.python.org/3.6/library/subprocess.html	url:https://docs.python.org/3.6/library/subprocess.html	ahUvp3pr
url:https://docs.python.org/3.6/library/threading.html	url:https://docs.python.org/3.6/library/threading.html	url:https://docs.python.org/3.6/library/threading.html	1B2w4mlEN
url:https://docs.python.org/3/license.html	url:https://docs.python.org/3/license.html	url:https://docs.python.org/3/license.html	d6rnuGOy
url:https://en.wikipedia.org/wiki/Systemd	url:https://en.wikipedia.org/wiki/Systemd	url:https://en.wikipedia.org/wiki/Systemd	1A5Nmo0JV
